"id","nome","UF","codinomes","partidos","profissoes","legislaturas","urls"
"161734","Jilmar Augustinho Tatto","PR","Jilmar Tatto","PT","Professor e Empresário","53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=161734&tipo=0"
"161730","Edson Aparecido Dos Santos","SP","Edson Aparecido","PMDB,PSDB","Historiador","53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=161730&tipo=0"
"178173","Saturnino Masson","Tanabi, SP","SATURNINO MASSON - PSDB/MT","PFL, 1984-1998; PSDB, 1998-.","Comerciante","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=178173&tipo=0"
"185705","José Carlos Stangarlini",",","JOSÉ C. STANGARLINI - PSDB/SP","PSDB, 1993-.","Advogado","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=185705&tipo=0"
"160883","Vital do Rêgo Filho","Campina Grande, PB","VITAL DO RÊGO FILHO - PMDB/PB","PSB, 1988-; PDT, 1990-2005; PMDB, 2005-.","Advogado e Médico","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160883&tipo=0"
"160402","Carlos Eduardo Vieira da Cunha","RS","Vieira Da Cunha","PDT","Procurador de Justiça","53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160402&tipo=0"
"109159","Elaine Carvalho Costa","Niterói, RJ","ELAINE COSTA - PTB/RJ","PDT, -2003; PSDB; PMDB; PTB, 2003-.","Professora e Funcionária Pública","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=109159&tipo=0"
"99139","Paulo Celso Fonseca Marinho","Caxias, MA","PAULO MARINHO - PL/MA","PMDB, 1980-1989; PSC, 1990-1999; PFL, 1999-2003; PL, 2003-.","Advogado e Servidor Público","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99139&tipo=0"
"109155","José de Araújo Mendonça Sobrinho","SE","Mendonça Prado","DEM,PFL","Advogado","52, 53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=109155&tipo=0"
"99133","Mário Assad Júnior","Manhuaçu, MG","MÁRIO ASSAD JÚNIOR - PSB/MG","PFL, 1993-2001; PL, 2001-2005; PSB, 2005-.","Advogado","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99133&tipo=0"
"98285","Pedro Wilson Guimarães","Marzagão, GO","PEDRO WILSON - PT/GO","PT, 1980-.","Advogado, Professor Universitário e Sociólogo","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98285&tipo=0"
"169698","Edigar Evangelista Dos Anjos","Macarani, BA","EDIGAR MÃO BRANCA - PV/BA","PV, 2003-.","Agricultor, Radialista e Músico","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=169698&tipo=0"
"99776","José Francisco Das Neves","Goiânia, GO","JUQUINHA - PL/GO","PMDB, 1995-1999; PSDB, 1999-2001; PL, 2001-.","Professor e Engenheiro Eletricista","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99776&tipo=0"
"195504","Masami Miki","RR","Massami Miki","PSL","","54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=195504&tipo=0"
"101665","José Leônidas de Menezes Cristino","Coreaú, CE","LEÔNIDAS CRISTINO - PDT/CE","PSDB, 1991-1997; PPS, 1997-2005; PSB, 2005-2013; PROS, 2013-2016; PDT, 2016-.","Engenheiro Civil","52, 55,","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=101665&tipo=0"
"160408","Eduardo Alves do Amorim","Itabaiana, SE","EDUARDO AMORIM - PSC/SE","PFL, 1994-2004; PSC, 2005-.","Médico Anestesiologista","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160408&tipo=0"
"96905","Antonio Joaquim Moraes Rodrigues Neto","Goiânia, GO","ANTÔNIO JOAQUIM - PSDB/MT","MDB, 1974-1980; PDT, 1985-1998; PSDB, 1998-.","Administrador de Empresas","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96905&tipo=0"
"100337","Alex Canziani Silveira","PR","Alex Canziani","PTB,PSDB,PFL","Registrador de Imóveis","52, 53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100337&tipo=0"
"100236","Ricardo de Rezende Ferraço","Cachoeiro de Itapemirim, ES","RICARDO FERRAÇO - PPS/ES","PSDB, -2001; PTB; PPS, 2001-.","Superior Incompleto","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100236&tipo=0"
"112316","Wasny Nakle de Roure","Goiânia, GO","WASNY DE ROURE - PT/DF","PT, 1985-.","Economista","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=112316&tipo=0"
"112315","Mariângela de Araújo Gama Duarte","Rio de Janeiro, RJ","MARIÂNGELA DUARTE - PT/SP","MDB, 1979-1986; PT, 1986-.","Professora Universitária","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=112315&tipo=0"
"112314","Idivar Francisco Appio","Lagoa Vermelha, RS","FRANCISCO APPIO - PP/RS","PPB, -2003; PP, 2003-.","","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=112314&tipo=0"
"112313","Carlos Domingos Mota Coelho","Minas Novas, MG","CARLOS MOTA - PSB/MG","PMDB, 1974-2001; PL, 2001-2005; PSB, 2005-.","Procurador Federal","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=112313&tipo=0"
"112014","Paulo Fernando Rangel de Lima","Paulo Afonso, BA","PAULO RANGEL - PT/BA","PT, 1982-.","Técnico em Eletrônica","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=112014&tipo=0"
"109165","Ronaldo Dimas Nogueira Pereira","Frutal, MG","RONALDO DIMAS - PSDB/TO","PSDB, 2001-.","Engenheiro Civil e Empresário","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=109165&tipo=0"
"167030","Geraldo Tenuta Filho","São Paulo, SP","BISPO GÊ TENUTA - DEM/SP","PSDB, 2002-2004; PTB, 2004; PFL, 2004-2007; DEM, 2007-.","Comunicólogo em Televisão, Pastor Evangélico, Teólogo, Empresário Têxtil, Comunicador de Rádio, Bispo Evangélico e Conselheiro do Estado","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=167030&tipo=0"
"98277","Pedro Novais Lima","MA","Pedro Novais","PDC,PPR","Advogado","52, 53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98277&tipo=0"
"98090","Nelson Otoch","Fortaleza, CE","NELSON OTOCH - PSDB/CE","PSDB, 1994-.","Advogado, Administrador de Empresas e Empresário","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98090&tipo=0"
"98271","Pedro Irujo Yaniz","Navarra, Espanha","PEDRO IRUJO - PMDB/BA","PMDB, 1980-1990; PRN, 1990-1993; PMDB, 1993-2000; PFL, 2000-2003; PL, 2003-2005; S.PARTIDO, 2005; PMDB, 2005-.","Empresário","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98271&tipo=0"
"99120","João Tota Soares de Figueiredo","Teixeira, PB","JOÃO TOTA - PP/AC","ARENA, 1970-1979; PDS, 1980-1993; PPR, 1993-1995; PPB, 1995-2003; PP, 2003; PL, 2003-2005; PP, 2005-.","Engenheiro Agrônomo","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99120&tipo=0"
"100344","Gustavo Bonato Fruet","Curitiba, PR","GUSTAVO FRUET - PSDB/PR","PMDB, 1991-2004; S.PARTIDO, 2005; PSDB, 2005-.","Advogado","52, 53,","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100344&tipo=0"
"96789","Albérico Cordeiro da Silva","Pilar, AL","ALBÉRICO CORDEIRO - PTB/AL","ARENA, 1978-1980; PDS, 1980-1985; PFL, 1986-1994; PTB, 1994-.","Jornalista","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96789&tipo=0"
"101678","José Santana de Vasconcellos Moreira","Alvinópolis, MG","JOSÉ SANTANA DE VASCONCELLOS - PR/MG","PSD, 1962-1965; ARENA, 1970-1980; PDS, 1981-1985; PFL, 1986-2003; PL, 2003-2007; PR, 2007-.","Advogado, Empresário e Produtor Rural","52, 53,","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=101678&tipo=0"
"100347","Iris Xavier Simões","Pato Branco, PR","ÍRIS SIMÕES - PR/PR","PL, 1992-1995; PPB, 1995-1996; PSDB, 1996-1997; PTB, 1997-2010; PR, 2010-.","Radialista","52, 53,","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100347&tipo=0"
"160426","Rogério Schumann Rosso","RJ","Rogério Rosso","PMDB","Músico, Advogado","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=160426"
"72912","Celso Pansera","RS","Celso Pansera","PMDB","","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=72912"
"112305","Antonio Milton Cardias","Guarapuava, PR","MILTON CARDIAS - PTB/RS","PDT, 1984-1987; PMDB, 1988-1992; PTB, 2001-.","Ministro Evangélico","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=112305&tipo=0"
"99993","Renato de Mello Vianna","Blumenau, SC","RENATO VIANNA - PMDB/SC","MDB, 1970-1981; PMDB, 1981-.","Advogado e Professor","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99993&tipo=0"
"162606","Efraim de Araújo Morais Filho","PB","Efraim Filho","DEM,PFL","Advogado","53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=162606&tipo=0"
"108288","José Lupércio Ramos de Oliveira","Tonantins, AM","LUPÉRCIO RAMOS - PMDB/AM","PMDB, 1986-1988; PDC, 1988-1992; PPR, 1992-1994; PPB, 1995-1997; PFL, 1997-2001; PL, 2001-2003; PPS, 2003-2005; PMDB, 2005; S.PARTIDO, 2005; PMDB, 2005-.","Advogado e Jornalista","52, 53,","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=108288&tipo=0"
"161755","André Luiz Vargas Ilário","PR","Andre Vargas","PT","Comerciante","53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=161755&tipo=0"
"99691","Ildefonço Rodrigues Cordeiro","Cruzeiro do Sul, AC","ILDEFONÇO CORDEIRO - PSDB/AC","PFL, 1997-2001; PSDB, 2001-2002.","Comerciante","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99691&tipo=0"
"160423","Eliene José de Lima","MG","Eliene Lima","PP,PSD","Engenheiro Civil e Professor","53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160423&tipo=0"
"99154","Pedro Fernandes Ribeiro","MA","Pedro Fernandes","PSD","Engenheiro Civil e Bancário","52, 53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99154&tipo=0"
"98417","Salomão Afonso de Souza Cruz","Boa Vista, RR","SALOMÃO CRUZ - PFL/RR","PFL, 1985-1990; PSDB, 1990-1991; PFL, 1991-1996; PSDB, 1996-1999; PPB, 1999-2001; PFL, 2001-.","Geólogo","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98417&tipo=0"
"100314","Rubens Bueno","PR","Rubens Bueno","MDB,PMDB,PSDB,PPS","Professor","54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100314&tipo=0"
"103824","Ricardo Wagner de Carvalho Lago","Pedreiras, MA","WAGNER LAGO - PDT/MA","MDB, 1966-1981; PMDB, 1981-1990; PDT, 1990-2003; PP, 2003-2005; PDT, 2005-.","Advogado e Promotor Público","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=103824&tipo=0"
"109149","Maria José Conceição Maninha","Januária, MG","MANINHA - PSOL/DF","PT, 1982-2005; PSOL, 2005-.","Médica","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=109149&tipo=0"
"160417","Paulo Renato Costa Souza","Porto Alegre, RS","PAULO RENATO SOUZA - PSDB/SP","MDB, 1966-1978; PMDB, 1978-1990; PSDB, 1990-.","Economista","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160417&tipo=0"
"161747","Antônio Eustáquio Andrade Ferreira","MG","Antônio Andrade","PMDB","Engenheiro Civil e Produtor Rural","53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=161747&tipo=0"
"160413","Maria Dalva de Souza Figueiredo","AP","Dalva Figueiredo","PT","Servidora Pública Federal","53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160413&tipo=0"
"178182","Fábio Rodrigues de Oliveira","PE","Major Fábio","PROS","Policial Militar","53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=178182&tipo=0"
"98656","Zaire Rezende","Uberlândia, MG","ZAIRE REZENDE - PMDB/MG","ARENA, 1968-1976; MDB, 1977-1979; PMDB, 1980-.","Médico","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98656&tipo=0"
"99146","João Castelo Ribeiro Gonçalves","Caxias, MA","JOÃO CASTELO - PSDB/MA","ARENA, 1967-1979; PDS, 1980-1989; PRN, 1989-1994; PPB, 1994-1997; PSDB, 1997-.","Advogado e Empresário","52, 55,","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99146&tipo=0"
"102508","Valdir Colatto","RS","Valdir Colatto","MDB,PMDB","Engenheiro Agrônomo","52, 53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=102508&tipo=0"
"98291","Philemon Rodrigues da Silva","Mamanguape, PB","PHILEMON RODRIGUES - PTB/PB","PMDB, 1982-1986; PTB, 1986-1999; PMDB, 1999-2000; PL, 2000-2003; PTB, 2003-.","Servidor Público, Pastor e Teólogo","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98291&tipo=0"
"101651","José Gerardo Oliveira de Arruda Filho","Caucaia, CE","ZÉ GERARDO - PMDB/CE","PMDB, 1985-1991; PSC, 1993-1994; PSDB, 1994-2000; PMDB, 2000-.","Empresário","52, 53,","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=101651&tipo=0"
"98939","Nair Maria Xavier Nunes de Oliveira Lôbo","Anápolis, GO","NAIR XAVIER LOBO - PMDB/GO","PRN, 1990-1993; PMDB, 1993-.","Advogada","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98939&tipo=0"
"160419","Paulo Roberto Manoel Pereira","São Caetano do Sul, SP","PAULO ROBERTO PEREIRA - PTB/RS","PTB, 2005-.","Apresentador de Televisão, Teólogo e Comunicador de Rádio","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160419&tipo=0"
"193794","José Gerardo Corrêa de Arruda","CE","Gera Arruda","PMDB","Administrador","54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193794&tipo=0"
"157253","Carlos Gomes Bezerra","MT","Carlos Bezerra","PTB,MDB,PMDB","Industrial, Advogado e Professor","53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=157253&tipo=0"
"182632","José de Andrade Maia Filho","Picos, PI","MAIA FILHO - PP/PI","PP, -2004; SD, -2016; PFL, 2005-2007; DEM, 2007-; PP, 2016-.","Empresário","53, 55, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=182632&tipo=0"
"111039","Vicente Paulo da Silva","RN","Vicentinho","PT","Bacharel em Direito e Metalúrgico","52, 53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=111039&tipo=0"
"160842","Robson Lemos Rodovalho","Anápolis, GO","RODOVALHO - PP/DF","PSC, 2002-2005; PFL, 2005-2007; DEM, 2007-2010; PP, 2010-.","Professor Universitário, Empresário, Escritor, Comunicador, Professor de Teologia, Bispo Evangélico, Bacharel em Ciências Físicas e Naturais e Bacharel em Filosofia","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160842&tipo=0"
"100385","José Carlos de Castro Martinez","São Paulo, SP","JOSÉ CARLOS MARTINEZ - PTB/PR","PDS, 1981-1985; PMDB, 1986-1989; PRN, 1990-1991; PTB, 1992-2003.","Administrador de Empresas","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100385&tipo=0"
"99176","Benedito Dias de Carvalho","Chaves, PA","DR. BENEDITO DIAS - PP/AP","PSDB, 1994-1998; PFL, 1998-1999; PPB, 1999-2003; PP, 2003-.","Médico e Empresário","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99176&tipo=0"
"99254","Clementino de Souza Coelho","Recife, PE","CLEMENTINO COELHO - PPS/PE","PMDB, 1986-1997; PSB, 1997-1999; PSB, 1999-.","Administrador de Empresas e Empresário","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99254&tipo=0"
"98406","Roque Zimmermann","Santo Cristo, RS","PADRE ROQUE - PT/PR","PT, 1987-.","Professor Universitário e Filósofo","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98406&tipo=0"
"100376","Bernardino Barreto de Oliveira","RJ","Oliveira Filho","PPB,PL","Radialista e Pastor Evangélico","52, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100376&tipo=0"
"100986","Paulo José Tavares Lessa","Conceição de Macabu, RJ","PAULO LESSA - PPB/RJ","PDT, 1982-1989; PL, 1990-1994; PDT, 1994-1995; PMDB, 1996-1997; PFL, 1997-2001; PMDB, 1999-2000; PPB, 2001-.","Secundário","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100986&tipo=0"
"100983","Francisco do Nascimento Gomes","Cruzeiro do Sul, AC","DR. GOMES - PFL/AM","PSDB, 1991-1993; PL, 1995-2001; PFL, 2001-.","Médico","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100983&tipo=0"
"111040","Gilberto Nascimento Silva","São Paulo, SP","GILBERTO NASCIMENTO - PSC/SP","PMDB, 1980-2001; PSB, 2001-2003; PMDB, 2003-.","Advogado e Delegado de Polícia","52, 55,","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=111040&tipo=0"
"193760","Paulo Adalberto Alves Ferreira","RS","Paulo Ferreira","PT","","54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=193760&tipo=0"
"181315","Marcos da Rocha Mendes","RJ","Marquinho Mendes","PMDB","","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=181315"
"103421","Uldurico Alves Pinto","Medeiros Neto, BA","ULDURICO PINTO - PHS/BA","PMDB, 1987-1991; PSB, 1991-1995; PMN, 1995-2009; PHS, 2009-1991.","Médico e Cacauicultor","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=103421&tipo=0"
"181316","Elizeu Dionizio Souza da Silva","ES","Elizeu Dionizio","SD","","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=181316"
"99169","Nice Lobão","PE","Nice Lobão","PST,PSD","Servidora Pública","52, 53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99169&tipo=0"
"99529","Itanildes Orlando Fernandes","Rio de Janeiro, RJ","DINO FERNANDES - PPB/RJ","MDB, 1972-1981; PMDB, 1982-1987; PTR, 1987-1990; PRN, 1990-1991; PST, 1991-1996; PFL, 1996-1997; PSC, 1997-1999; PSDB, 1999-2001; PPB, 2001-.","Advogado","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99529&tipo=0"
"98310","Raymundo Pimentel Gomes Neto","Meruoca, CE","PIMENTEL GOMES - PPS/CE","PSDB, 1989-1997; PPS, 1997-.","Médico","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98310&tipo=0"
"98626","Wigberto Ferreira Tartuce","Rio Verde, GO","WIGBERTO TARTUCE - PPB/DF","PP, -1994; PPB, 1995-.","Economista e Radialista","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98626&tipo=0"
"160838","Renato Delmar Molling","RS","Renato Molling","PP","Professor, Administrador e Industriário","53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160838&tipo=0"
"179001","Marcio Della Valle Biolchi","RS","Márcio Biolchi","PMDB","","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=179001"
"179000","Marcelo Henrique Teixeira Dias","MG","Marcelo Álvaro Antônio","PMB,PR","Empresário","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=179000"
"112347","Wagner Rubinelli","Santo André, SP","RUBINELLI - PT/SP","PCB, 1987-1989; PT, 1990-.","Advogado","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=112347&tipo=0"
"96925","Antônio Marcelo Teixeira Sousa","Fortaleza, CE","MARCELO TEIXEIRA - PR/CE","PMDB, -2005; PSDB, 2005-2007; PR, 2007-.","Engenheiro Civil, Professor Universitário e Engenheiro Químico","52, 53,","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96925&tipo=0"
"100360","Airton Bernardo Roveda","Bituruna, PR","AIRTON ROVEDA - PR/PR","PMDB, 1991-1995; PDT, 1995-1999; PFL, 1999-2000; PSDB, 2000-2001; PTB, 2001-2003; PMDB, 2003-2005; PTB, 2005; PPS, 2005-2007; PR, 2007-.","Comerciante e Minerador","52, 53,","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100360&tipo=0"
"97272","Esther Pillar Grossi","Santa Maria, RS","ESTHER GROSSI - PT/RS","PT, 1983-.","Professora e Pesquisadora em Educação","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97272&tipo=0"
"109173","Cezar Augusto Carollo Silvestri","PR","Cezar Silvestri","PTB,PDT,PSDB,PPS","Agropecuarista e Engenheiro Civil","52, 53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=109173&tipo=0"
"99197","Hildemar Sousa de Azevedo Picanço","Belém, PA","BADU PICANÇO - PL/AP","PSDB, 1997-2001; PL, 2001-.","Bacharel em Ciências Contábeis","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99197&tipo=0"
"192895","Francisco Ferreira Freitas Neto","Capanema, PA","CHICO NETO - PSDB/PA","PDS, 1982-1988; PMDB, 1991-1995; PSDB, 1997-.","Engenheiro Agrônomo","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=192895&tipo=0"
"99191","Evandro Costa Milhomen","AP","Evandro Milhomen","PSB,PCdoB","Sociólogo","52, 53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99191&tipo=0"
"102531","Sylvio Lopes Teixeira","Rio de Janeiro, RJ","SILVIO LOPES - PSDB/RJ","PTB, 1982-1984; PMDB, 1987; PL, 1987-1993; PSDB, 1993-.","Empresário e Comerciante","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=102531&tipo=0"
"100355","Osmar José Serraglio","RS","Osmar Serraglio","MDB,PMDB","Advogado e Professor Universitário","52, 53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100355&tipo=0"
"100225","Magno Pereira Malta","Macarani, BA","MAGNO MALTA - PL/ES","PTB, -2001; PTB, 1995; PMDB, 1996; PST, 2001; PL, 2001-.","Pastor Evangélico e Músico","","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100225&tipo=0"
"161702","Marcelo Augusto da Eira Corrêa","Manaus, AM","MARCELO SERAFIM - PSB/AM","PSB, 1994-.","Farmacêutico Bioquímico","53, ","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=161702&tipo=0"
"161701","Edson Santos de Souza","RJ","Edson Santos","PT","","53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=161701&tipo=0"
"156358","Ricardo Ferreira Dos Santos","Alegre, ES","RICARDO SANTOS - PSDB/ES","PMDB, 1984-1990; PSDB, 1990-.","Professor Universitário e Engenheiro Agrônomo","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=156358&tipo=0"
"109188","Carlos Alberto Cavalcante de Souza","AM","Carlos Souza","PPB,PL,PP,PP,PSD","Radialista, Professor e Biólogo","52, 53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=109188&tipo=0"
"99184","Eduardo Seabra da Costa","Belém, PA","EDUARDO SEABRA - PTB/AP","PL, 1990-1997; PTB, 1997-.","Professor","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99184&tipo=0"
"100369","Florisvaldo Fier","PR","Dr. Rosinha","PT","Médico e Servidor Público","52, 53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100369&tipo=0"
"98202","Pauderney Tomaz Avelino","AM","Pauderney Avelino","PPR,PPB","Engenheiro Civil e Professor","52, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98202&tipo=0"
"160483","Marco Aurélio Ubiali","SP","Dr. Ubiali","PSB,PMDB","Médico e Professor Universitário","53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160483&tipo=0"
"99535","Carlos Alberto Rodrigues Pinto","Rio de Janeiro, RJ","CARLOS RODRIGUES - PL/RJ","PFL, 1997-1999; PL, 1999-.","Radialista e Pastor Evangélico","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99535&tipo=0"
"98687","João Felipe de Souza Leão","PE","João Leão","PPB,PL,PP","Empresário","52, 53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98687&tipo=0"
"160002","Jose Roberto Santiago Gomes","SP","Roberto Santiago","PV,PSD","Comerciário, Sindicalista e Juiz","53, 54","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160002&tipo=0"
"98681","Aldir Cabral de Araújo","Rio de Janeiro, RJ","ALDIR CABRAL - PFL/RJ","PTB, 1990-1994; PFL, 1994-2000; PSDB, 2000; PFL, 2000-.","Advogado e Delegado de Polícia Federal","52","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98681&tipo=0"
"194258","Cleuza Pereira do Nascimento","PE","Creuza Pereira","PSB","","55","http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=194258"
"107809","Alice Mazzuco Portugal","BA","Alice Portugal","PCdoB","Química Industrial e Farmacêutica Bioquímica","52, 53, 54, 55","http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=107809&tipo=0"
